Time,ax_barato,ay_barato,az_barato,wx_barato,wy_barato,wz_barato,Lat_barato,Lon_barato,Alt_barato,vN_barato,vE_barato,vU_barato,d_izq_barato,d_der_barato
<<<<<<< HEAD
0,-0.0045,0.003,-0.0003,-0.0076,-0.0045,-0.0011,47.810004,13.039995,422.95,15.025,-0.032,0.032,499.68,500.64
0.01,0.0013,-0.0048,-0.0048,-0.0038,-0.0004,0.0092,47.809998,13.039998,421.72,14.965,0.001,-0.009,501.01,499.72
0.02,-0.0005,-0.0011,0.004,-0.0029,0.0037,0.0013,47.810001,13.040007,421.43,15.002,-0.01,-0.05,499.48,500.06
0.03,-0.0006,0.0006,-0.0001,-0.0009,-0.0003,0.0004,47.809998,13.040007,425.87,15.034,-0.004,0.006,500.05,500.02
0.04,-0.0032,0.0009,-0.0049,0.0019,0.0002,0.0008,47.81,13.040008,422.6,14.985,-0.051,-0.025,499.94,500.45
0.05,0.0027,-0.004,-0.0052,0.0008,-0.0001,-0.0027,47.809997,13.04001,425.58,14.97,0.037,0.003,499.98,500.42
0.06,-0.0009,-0.0014,0.001,-0.0004,0.001,-0.0008,47.809999,13.040015,422.97,14.961,0.042,0.004,500.31,499.22
0.07,-0.0005,0.0024,-0.0007,0.0019,-0.0023,-0.0032,47.810004,13.040018,421.05,14.993,-0.014,0.013,500.13,499.68
0.08,-0.0035,-0.0082,0.002,0.0031,-0.0004,0.0024,47.81,13.040019,422.02,15.017,-0.008,-0.023,500.23,499
0.09,0.0007,-0.0021,-0.0008,0.001,0.0028,0.0005,47.810004,13.040015,426.63,14.955,0.007,0.014,500.61,499.81
0.1,0.0065,-0.0002,0.0066,0.0041,-0.0021,-0.0008,47.810003,13.040022,426.82,15.007,-0.012,-0.024,500.05,499.31
0.11,-0.0011,-0.0028,0.0009,0.0005,0.0047,0.0004,47.809997,13.040024,425.81,15.046,0.014,0.015,500.31,499.91
0.12,-0.0038,0.0037,0.0016,-0.0009,-0.0001,-0.0029,47.81,13.040025,425.99,15.027,0.037,-0.022,499.54,500.18
0.13,-0.0036,0.0043,-0.0029,0.0021,-0.0013,-0.0019,47.810001,13.040026,424.96,14.973,-0.041,0.019,499.51,499.86
0.14,0.006,0,-0.0053,-0.0033,0.0019,-0.0031,47.809997,13.040027,422.72,15.024,0.01,0.022,499.89,499.57
0.15,-0.0034,0.0053,0.0044,-0.0068,0.0015,0.001,47.810003,13.040029,422.25,15.02,-0.021,-0.083,500.36,499.81
0.16,-0.0022,0.0027,0.0035,-0.0015,0.0032,-0.002,47.809996,13.040036,425.84,15.037,0.01,0.021,499.99,500.64
0.17,0.0002,-0.0004,0.0077,-0.0031,-0.0002,0.0066,47.810002,13.040035,424.37,15.01,0.02,-0.028,499.31,500.32
0.18,0.0008,-0.0021,0.0009,0.0018,0.0024,-0.0015,47.809995,13.04004,425.33,15.009,-0.009,-0.002,500.64,499.74
0.19,0.0016,-0.0011,0.0024,0.0009,0.003,-0.0003,47.809999,13.040042,423.02,14.978,0.032,-0.012,500.2,499.48
0.2,-0.0004,-0.0044,0.0081,-0.0032,0.0002,0.0018,47.809999,13.040037,426.56,14.962,-0.018,0,500.09,500.57
0.21,0.0008,0.0014,-0.0019,0.0022,-0.0019,-0.0021,47.810003,13.040042,421.25,15.004,0.009,0.032,500.37,501.09
0.22,0.0031,-0.0043,-0.001,0.0003,0.0068,-0.0022,47.810003,13.040047,422.59,15.037,0.024,-0.023,501.96,500.18
0.23,0.0031,-0.0027,0.0001,-0.0069,-0.0003,-0.0032,47.810003,13.040044,423.16,15.021,0,-0.021,499.79,500
0.24,-0.0072,0.003,0.0057,0.0021,0.0008,0.0047,47.81,13.040045,424.17,14.964,0.031,0.016,499.92,500.36
0.25,0.0016,0.0045,0.0048,0.0023,-0.0036,0.0013,47.809998,13.040047,421.54,14.994,-0.042,-0.02,500.99,500.07
